Name,Gender,Salary,Departments,Position
연호진,female,21369,design,manager
견시은,female,12977,advertising,header
동채연,female,29854,marketing,assistant
정준성,male,3202,marketing,assistant
동재인,male,11540,advertising,assistant
윤지환,male,28956,advertising,manager
주우주,male,3914,advertising,manager
용유경,female,7104,advertising,intern
위하율,male,8069,marketing,intern
공지완,female,14973,marketing,assistant
용소율,male,25195,marketing,assistant
가준후,male,3989,IT,assistant
문유준,male,19773,advertising,assistant
표동규,female,28489,marketing,header
육정연,male,20959,marketing,assistant
연선우,male,18351,marketing,manager
용도아,male,9726,marketing,manager
추소민,male,23307,marketing,assistant
금민성,male,20393,marketing,assistant
임민결,male,17623,finance,header
경시안,female,24929,marketing,intern
예세영,male,14732,design,manager
형태인,male,6820,design,assistant
노사랑,female,5425,marketing,assistant
한강현,male,17459,marketing,assistant
당현진,female,22749,finance,assistant
석승환,male,3702,marketing,manager
목재혁,male,13177,marketing,intern
권승준,female,4180,marketing,manager
인연우,male,6913,marketing,manager
박태호,male,20051,design,intern
허예슬,female,16786,marketing,manager
천채현,female,19325,marketing,header
복민호,male,29279,marketing,assistant
원봄,male,13394,marketing,assistant
하재희,female,24896,marketing,assistant
편지성,male,28106,finance,intern
유재민,male,17348,advertising,assistant
연연지,female,26722,marketing,assistant
은주환,male,27945,marketing,manager
심지아,female,21778,marketing,assistant
윤예담,female,15158,marketing,assistant
선정우,male,19026,marketing,manager
길진우,male,13378,marketing,manager
강예진,female,12377,design,assistant
인승연,male,20841,marketing,assistant
나은우,female,8606,marketing,assistant
제준희,male,10366,finance,header
태용준,male,26653,IT,assistant
안서후,male,17888,marketing,assistant
하재은,male,12958,marketing,assistant
시연서,female,27398,advertising,manager
엄다온,female,12965,marketing,assistant
편민찬,male,9097,advertising,manager
장희찬,female,17509,marketing,manager
인주혁,female,4775,marketing,assistant
방상우,male,22211,advertising,manager
두하랑,female,25754,advertising,assistant
서채이,female,15455,finance,assistant
연승우,male,12086,marketing,assistant
천유은,female,10808,advertising,manager
남도은,male,10577,marketing,manager
민규현,male,21770,marketing,header
방시헌,male,22429,marketing,manager
상태하,male,17539,design,manager
편민석,female,24263,marketing,assistant
성수현,male,28971,marketing,manager
범영우,male,18502,marketing,assistant
원선호,male,21108,IT,assistant
권예주,male,15952,advertising,assistant
감강현,female,12661,marketing,manager
송한결,male,17271,advertising,assistant
당태양,male,7843,design,assistant
문정원,male,27911,advertising,header
정민정,male,20274,marketing,assistant
백태현,male,10436,design,manager
반승연,male,15822,marketing,manager
심로이,female,24872,marketing,manager
여이현,male,4567,marketing,assistant
단은설,male,20634,advertising,manager
명지오,male,11322,IT,intern
신정연,female,17070,design,header
시하람,male,26139,IT,assistant
안승원,male,3080,finance,manager
차서원,male,17339,marketing,manager
서혜성,male,20218,advertising,manager
여정원,male,20605,marketing,assistant
감종현,male,10737,marketing,assistant
설효주,male,3055,finance,header
편현진,female,15743,marketing,assistant
천하민,male,13388,IT,manager
안승찬,female,21938,advertising,header
단시훈,female,29719,marketing,manager
염태건,female,29590,marketing,intern
간진혁,female,8565,IT,assistant
문준혁,male,10782,finance,assistant
명채은,male,20866,marketing,assistant
가지수,female,3422,advertising,manager
조나은,female,20534,design,assistant
경승빈,male,19064,marketing,assistant
팽현성,female,29004,marketing,manager
반재이,male,20859,advertising,assistant
함태이,male,19388,advertising,manager
김지웅,female,10563,marketing,assistant
라가빈,male,6105,finance,header
김혜민,female,21454,marketing,assistant
장건희,female,28840,advertising,intern
온정후,male,3887,marketing,assistant
현해나,male,15434,marketing,intern
우민찬,male,10429,marketing,manager
용강현,female,20398,marketing,assistant
여유안,male,16166,marketing,manager
윤대현,male,26505,marketing,assistant
피시윤,male,21370,IT,manager
서주원,female,25937,advertising,assistant
권승재,male,26622,marketing,header
두하랑,female,10735,advertising,header
어승훈,female,5587,marketing,assistant
상예지,female,22461,advertising,intern
범수정,male,6607,advertising,assistant
도성진,male,8091,advertising,manager
호유민,female,16416,marketing,assistant
변온유,male,13365,IT,manager
라사랑,male,26026,marketing,assistant
팽시완,male,27428,marketing,intern
봉루아,female,18231,finance,assistant
지재원,female,17242,marketing,assistant
조나은,female,11145,IT,manager
두재훈,female,16850,finance,assistant
용은솔,male,22510,marketing,manager
김지민,male,14065,design,intern
맹은율,male,22678,finance,header
갈혜성,male,22441,marketing,manager
왕승찬,male,26429,finance,assistant
오동우,male,6668,finance,manager
현다빈,male,26043,finance,assistant
라효린,female,5753,advertising,assistant
인서아,male,4784,design,assistant
곽설,male,25656,advertising,assistant
승예나,male,22398,IT,assistant
견채민,male,10329,advertising,intern
황시헌,male,26481,marketing,assistant
하민수,male,19289,advertising,manager
용재훈,male,17880,marketing,assistant
오성준,female,9639,IT,assistant
박진혁,female,24861,IT,assistant
장단아,male,13609,marketing,intern
명지원,male,14600,marketing,assistant
반현진,male,27956,IT,assistant
옥연주,female,18333,marketing,intern
감민혁,female,5358,design,assistant
맹하온,male,21583,marketing,assistant
박소원,male,15458,design,manager
양이현,female,13457,marketing,header
노세현,male,3910,marketing,header
최서아,female,4811,marketing,assistant
복현진,female,28343,advertising,assistant
안승윤,male,5113,marketing,header
민지온,male,25562,IT,assistant
호재우,male,7742,design,manager
박가온,male,18706,marketing,header
민태건,male,12416,finance,assistant
설제이,female,10118,marketing,assistant
장다연,male,6491,IT,manager
탁재희,male,12219,finance,manager
옥시원,male,8113,marketing,header
반여진,female,25320,advertising,header
도지운,female,19811,marketing,assistant
석리아,male,8093,marketing,assistant
안하준,male,12626,design,assistant
동재이,male,6907,marketing,assistant
빈라온,female,16611,marketing,assistant
피준형,male,9503,IT,assistant
도연준,female,19479,marketing,assistant
은동혁,male,5677,marketing,assistant
표우현,female,19883,advertising,assistant
동채린,male,23933,advertising,assistant
설민하,male,12772,marketing,header
유지호,female,25672,IT,manager
목유경,male,26570,advertising,intern
민연우,male,12984,finance,manager
공승우,female,16670,marketing,manager
부서후,female,9797,marketing,header
조윤서,male,23925,advertising,assistant
여진우,female,24855,IT,assistant
나지운,male,16849,finance,manager
한나율,male,28536,marketing,manager
제강민,male,27985,marketing,manager
차나현,female,20130,IT,assistant
연건우,male,22159,IT,assistant
장윤아,male,13519,advertising,assistant
마승민,female,15751,marketing,intern
연신우,male,26020,marketing,manager
호민주,male,19195,design,intern
승가온,female,9923,finance,header
봉서준,male,4821,advertising,manager
명다원,female,12033,marketing,assistant
천서우,male,27374,marketing,manager
육강민,male,25427,finance,header
은다원,female,21970,marketing,header
사유림,female,19551,design,assistant
봉동현,male,18946,advertising,assistant
천주아,male,26828,advertising,intern
왕수아,male,14975,advertising,assistant
전정연,female,27730,advertising,assistant
승민규,female,6406,finance,assistant
양재이,male,20184,IT,manager
용은별,male,10799,marketing,assistant
반태이,female,16872,marketing,header
당정연,female,26002,finance,intern
맹현수,female,22059,marketing,assistant
제민기,female,12398,advertising,manager
반성준,male,22550,advertising,header
음다원,female,16483,marketing,manager
함하늘,female,5912,IT,header
전규리,male,29858,advertising,manager
위소원,female,21572,IT,assistant
양한나,female,4934,marketing,assistant
경태경,male,24455,marketing,manager
추수혁,male,10093,marketing,assistant
진채윤,female,20721,IT,assistant
오단비,female,17639,advertising,manager
이서호,male,28982,marketing,manager
석민결,male,4467,design,assistant
노유성,male,8560,design,intern
은하리,female,11315,advertising,header
간준현,male,15741,design,header
반채원,male,27480,marketing,assistant
은산,male,22980,design,manager
엄재준,male,20726,advertising,assistant
공유진,male,29450,marketing,assistant
피건우,female,21130,advertising,manager
오은재,female,19103,advertising,assistant
위민규,female,14145,marketing,intern
하현성,male,27763,advertising,intern
소윤성,female,27982,IT,manager
남아준,male,15725,IT,manager
한준희,male,6395,IT,intern
채윤채,male,18162,finance,assistant
한규빈,male,7885,marketing,header
편혜원,male,5686,marketing,intern
음주하,female,19102,marketing,manager
남동혁,female,19357,marketing,header
사예슬,male,24796,marketing,header
신하늘,female,6926,advertising,assistant
부동규,male,24150,finance,intern
지민지,male,26292,marketing,manager
상은혁,female,29513,advertising,intern
전서연,male,10395,advertising,assistant
라서영,male,17853,advertising,manager
박소정,female,9835,marketing,manager
가하랑,male,28077,advertising,manager
금건호,female,16407,advertising,assistant
고현지,male,6138,marketing,assistant
형유하,female,6846,advertising,assistant
윤세린,male,19384,IT,manager
위지오,female,4148,marketing,assistant
금수혁,female,10674,marketing,assistant
나민정,male,9953,finance,manager
주연호,male,17468,advertising,manager
태건후,female,10541,marketing,assistant
문채영,female,16487,marketing,assistant
동태인,male,8845,finance,assistant
김태우,male,16528,marketing,manager
간채빈,male,20263,marketing,header
호태리,female,22514,marketing,assistant
석단비,female,19071,marketing,manager
소하나,female,27004,advertising,assistant
범연호,male,25536,advertising,manager
상소연,male,7588,IT,intern
연현수,female,27299,marketing,intern
윤정현,female,10330,advertising,manager
안서빈,male,5892,marketing,assistant
선가을,male,5237,marketing,manager
차이한,female,12861,marketing,assistant
박지영,female,14745,advertising,assistant
탁현,male,10624,marketing,assistant
편원우,male,19480,marketing,manager
송태준,male,28766,IT,assistant
이로아,male,19958,finance,assistant
최재혁,male,10121,advertising,assistant
옥아름,female,21373,marketing,assistant
유채은,male,15164,design,assistant
염시온,female,10486,IT,header
